QID,Difficulty,Questions,Answers
1,Easy,How do you output a variable value inside JSX,By wrapping the variable in curly braces: {variableName}
2,Easy,What is the correct file extension for a React component that uses JSX,.jsx or .tsx
3,Easy,What is the children prop,A special prop that contains whatever content is passed between the opening and closing tags of a component
4,Easy,Which hook is used to handle side effects like fetching data,Which hook is used to handle side effects like fetching data
5,Easy,What is the syntax to import a CSS file in a React component,import './App.css';
6,Easy,How do you handle a click event in React,Using the onClick attribute
7,Easy,What is the default port for a Create React App server,3000
8,Easy,Can you return multiple elements from a component without a wrapper div,"Yes, using Fragments (<></> or <React.Fragment>)"
9,Easy,What is the purpose of className in React,It is used to apply CSS classes
10,Easy,What does npm start usually do in a React project,It runs the app in development mode
11,Easy,Is React a framework or a library,It is a JavaScript library for building user interfaces
12,Easy,What is the main entry file in a standard React application,Usually index.js or main.jsx
13,Easy,What is the rule regarding component names,They must start with a capital letter
14,Easy,How do you access a DOM element directly,Using the useRef hook
15,Easy,Can you use class as an attribute name in JSX,"No, you must use className because class is a reserved keyword in JavaScript"
16,Easy,"What is ""One-way data binding""",Data flows down from parent to child via props
17,Easy,How do you export a component as the default export,export default ComponentName;
18,Easy,What is the purpose of package.json,"It tracks dependencies, scripts, and project versioning"
19,Easy,Can a parent component change the state of a child component directly,"No, not directly; it must pass data via props or use a ref"
20,Easy,How do you comment out code inside JSX,{/* This is a comment */}
21,Medium,"Explain ""Lifting State Up""",Moving shared state to the closest common ancestor of the components that need it
22,Medium,What is the difference between useEffect and useLayoutEffect,useEffect runs asynchronously after the render is painted to the screen; useLayoutEffect runs synchronously after DOM mutations but before the paint
23,Medium,"What is a ""Controlled Component""",An input form element whose value is controlled by React state (single source of truth)
24,Medium,What is the purpose of React.memo,"It is a higher-order component that memoizes a functional component, preventing re-renders if props haven't changed"
25,Medium,"How do you create a ""Custom Hook""","By creating a JavaScript function whose name starts with ""use"" and that calls other hooks"
26,Medium,What is the issue with using an array index as a key,It can negatively impact performance and cause issues with component state if the list order changes
27,Medium,What is the cleanup function in useEffect,A function returned by the effect that runs before the component unmounts or before the effect re-runs
28,Medium,What is useReducer used for,It is an alternative to useState for managing complex state logic involving multiple sub-values or when the next state depends on the previous one
29,Medium,"How do you implement ""Lazy Loading"" in React",Using React.lazy() and wrapping the component in <Suspense>
30,Medium,"What is the ""Rules of Hooks""",Hooks can only be called at the top level (not inside loops/conditions) and only from React functions
31,Medium,How do you force a component to re-render,By changing its state or props
32,Medium,What is the difference between Link (from React Router) and a standard <a> tag,Link updates the URL and renders the new view without reloading the page; <a> causes a full page refresh
33,Medium,How do you handle error boundaries in functional components,You can't directly; you must use a Class component or a library like react-error-boundary
34,Medium,"What is ""Batching"" in React",React groups multiple state updates into a single re-render for better performance
35,Medium,How do you pass a parameter to an event handler,Using an arrow function
36,Medium,What is the significance of the key prop,"It helps React identify which items have changed, are added, or are removed, optimizing the reconciliation process"
37,Medium,What is the difference between super() and super(props) in class components,super(props) allows you to access this.props inside the constructor; super() alone does not
38,Medium,Can you use async/await directly in the useEffect callback,"No, because useEffect expects a cleanup function or nothing returned, but async functions return a Promise. You must define an async function inside the effect and call it"
39,Medium,"How do you implement a ""Dark Mode"" toggle",Typically using a Context provider to hold the theme state and passing the current theme to styled components or CSS classes
40,Medium,"Explain ""Dependency Injection"" in the context of React","Passing services or data sources as props (or via Context) rather than importing them directly, making components easier to test"
