Sr.no,Topic,Difficulty,Question,Answer
1,cassandra,Easy,How would you describe cassandra to someone who only knows sql,Cassandra is a distributed nosql database designed to handle massive amounts of data across many servers unlike sql it has no single point of failure and scales linearly
2,cassandra,Easy,What is the default port for cassandra,9042 for the native transport protocol
3,cassandra,Easy,What is the query language used in cassandra and is it standard sql,Cql cassandra query language and it looks very similar to sql but it doesnt support joins or subqueries
4,cassandra,Easy,How do you log into the cassandra shell,We use the cqlsh command-line interface
5,cassandra,Easy,What is a keyspace,A keyspace is the outermost container for data similar to a database in mysql or postgres it defines how data is replicated across nodes
6,cassandra,Easy,What is a node and a cluster,A node is a single machine running cassandra and a cluster is a collection of nodes that work together as one logical unit
7,cassandra,Easy,How do you see the status of your cluster,I would use the nodetool status command in the terminal
8,cassandra,Easy,Can cassandra work without a network,You can run a single node cluster for development but the whole point of cassandra is its distributed nature over a network
9,cassandra,Easy,What is nodetool describecluster ,It gives you a summary of the cluster showing the name the snitch and the partitioner being used
10,cassandra,Easy,How do you find the version of cassandra you are running,Inside cqlsh it shows at the top or i can run cassandra -v
11,cassandra,Easy,Is cassandra schema less,No it is schema optional for some things but you definitely have to define tables and columns its not like mongodb where you can just throw in any json
12,cassandra,Easy,What is the replication factor,It is the number of copies of data you want to store in the cluster if rf=3 every row is stored on three different nodes
13,cassandra,Easy,What is consistency level,the number of nodes that must acknowledge a read or write for it to be successful common levels are one quorum and all
14,cassandra,Easy,Why is denormalization okay in cassandra,Because disk space is cheap and writes are fast we favor read performance over storage efficiency
15,cassandra,Easy,Can i use aggregates like sum or avg,Yes cassandra supports basic aggregates but they only work efficiently within a single partition running them across the whole table is very slow
16,cassandra,Easy,What is the networktopologystrategy,the replication strategy we use for production it allows us to specify how many replicas we want in each specific data center
17,cassandra,Easy,What is a seed node,Seed nodes are used as contact points for new nodes joining the cluster to discover the ring topology
18,cassandra,Intermediate,Explain the concept of gossip in cassandra,gossip is a peer to peer protocol where nodes talk to each other every second to share state info like who is up who is down and who has joined the ring
19,cassandra,Intermediate,What is the partition key,It is the part of the primary key that determines data distribution all rows with the same partition key are stored together on the same physical node
20,cassandra,Intermediate,What is a clustering key,it is the second part of the primary key it determines the sorting order of the data within a partition
21,cassandra,Intermediate,Can i change my primary key after creating a table,No in cassandra data is physically stored based on the key if you need a new key you have to create a new table and migrate the data
22,cassandra,Intermediate,What is a snitch,A snitch maps the ip addresses of nodes to physical locations like datacenters and racks it helps cassandra avoid placing all replicas on the same rack
23,cassandra,Intermediate,How does cassandra handle a write operation,Actually writes are extremely fast because cassandra writes to a commit log and then a memory structure called a memtable it doesnt wait for a disk seek
24,cassandra,Intermediate,What is hinted handoff in cassandra,If a node is down during a write the coordinator node stores a hint once the target node comes back online the coordinator hands off the missed data
25,cassandra,Intermediate,How do you implement a counter column,You use the counter data type it can only be incremented or decremented you can not manually set it to a specific value
26,cassandra,Intermediate,How do you add a new node to an existing cluster,You install cassandra on the new machine point the seeds to the existing cluster and it will automatically start streaming data to balance itself
27,cassandra,Intermediate,How do you back up data in cassandra,by use the nodetool snapshot command which creates hard links to the current sstables
28,cassandra,Intermediate,Why use cassandra over mongodb,Choose cassandra for high write availability and massive scale across multiple datacenters choose mongodb if you need flexible schemas and complex document queries
