QuestionID,Difficulty,Question,Answer
JAVAE001,Easy,So first tell me what exactly is Java and where you have used it,Java is basically an object oriented programming language and I mostly use it to build backend logic and small applications and it runs on JVM so it works on any system
JAVAE002,Easy,Ok so when you write Java code how does it actually run in the system,First Java compiler converts code into bytecode and then JVM runs that bytecode
JAVAE003,Easy,Why people say Java is platform independent,Because Java does not run directly on OS it runs on JVM and JVM is available for every OS
JAVAE004,Easy,Can you explain what JVM actually does,JVM executes bytecode and also manages memory and handles garbage collection
JAVAE005,Easy,You must have heard JDK and JRE so what is the real difference,JDK is used to write and compile code and JRE is only used to run Java programs
JAVAE006,Easy,If I install JDK do I still need JRE,JDK already contains JRE so we do not need to install it separately
JAVAE007,Easy,While coding in Java what basic data types you usually use,I mostly use int float double char and boolean
JAVAE008,Easy,In Java everything is object but still we have primitives so why is that,Primitives are there for performance and memory efficiency
JAVAE009,Easy,So tell me what is a class in your own words,Class is like a blueprint which defines what an object will have and what it can do
JAVAE010,Easy,Then what exactly is an object,Object is a real instance of a class which we actually use in program
JAVAE011,Easy,Why Java program always starts from main method,Because JVM looks for main method first to start execution
JAVAE012,Easy,Why main method is static in Java,So that JVM can call it without creating object
JAVAE013,Easy,When you create object what method is called automatically,Constructor is called automatically when object is created
JAVAE014,Easy,Can you tell me what constructor is used for,Constructor is used to initialize object variables
JAVAE015,Easy,Can we write more than one constructor in a class,Yes we can do constructor overloading by using different parameters
JAVAE016,Easy,You have used this keyword so why do we actually need it,This keyword is used to refer current object and to avoid confusion between variables
JAVAE017,Easy,So tell me what is inheritance and why do we use it,Inheritance is used to reuse code and access parent class features in child class
JAVAE018,Easy,In simple words what is polymorphism,Polymorphism means same method behaves differently in different situations
JAVAE019,Easy,What is the difference between overloading and overriding,Overloading is same method name in same class and overriding is redefining parent method in child class
JAVAE020,Easy,Why do we make variables private in class,To protect data and achieve encapsulation
JAVAE021,Easy,So how do you access private variables then,We use getters and setters to access private variables
JAVAE022,Easy,Have you used interface If yes why,Yes interface is used when we want to define a rule that classes must follow
JAVAE023,Easy,What is the use of abstract class in real projects,It is used when we want to share common code and also force child class to implement some methods
JAVAE024,Easy,Why Java does not support multiple inheritance with classes,To avoid confusion and complexity like diamond problem
JAVAE025,Easy,So how Java achieves multiple inheritance,By using interfaces
JAVAE026,Easy,What is package and why we use it,Package is used to organize code and avoid class name conflicts
JAVAE027,Easy,When you write static keyword what does it mean,It means that variable or method belongs to class not to object
JAVAE028,Easy,So where have you used static in your code,I have used static in main method and utility methods
JAVAE029,Easy,What is final keyword and where do you use it,Final is used when we do not want to change variable or override method or extend class
JAVAE030,Easy,While running program have you seen errors so what is exception,Exception is a runtime problem that stops normal flow of program
JAVAE031,Easy,So how do you usually handle exceptions in your code,We use try catch block to handle exceptions
JAVAE032,Easy,What is finally block and when it is useful,Finally block is used to write cleanup code and it always runs
JAVAE033,Easy,You use String a lot so what exactly is String in Java,String is an object that represents sequence of characters
JAVAE034,Easy,People say String is immutable so what does that mean,It means once created we cannot change its value
JAVAE035,Easy,So why Java made String immutable,For security memory saving and thread safety
JAVAE036,Easy,What is the difference between == and equals in real usage,Double equal checks reference and equals checks actual content
JAVAE037,Easy,When do you use array in your program,When I need to store multiple values of same type
JAVAE038,Easy,If you want to repeat something many times what do you use,We use loops like for and while
JAVAE039,Easy,So when do you prefer for loop and when while loop,If I know number of iterations I use for loop otherwise while loop
JAVAE040,Easy,In loop what is use of break and continue,Break stops loop and continue skips current iteration
JAVAE041,Easy,Can you explain what this code will print int a=5 System.out.println(a++),It will print 5 because first value is used then it is increased to 6
JAVAE042,Easy,What will be output of this code int a=5 System.out.println(++a),It will print 6 because value is increased first and then printed
