Serial No,Difficulty,Question,Answer
1,Easy,What is scikit-learn?,"Scikit-learn is an open-source machine learning library for Python built on top of NumPy, SciPy, and Matplotlib. It provides simple and efficient tools for data preprocessing, classical machine learning algorithms, model evaluation, and model selection. Scikit-learn is mainly used for traditional machine learning tasks like classification, regression, clustering, and dimensionality reduction rather than deep learning."
2,Medium,What types of machine learning problems can scikit-learn solve?,"Scikit-learn supports supervised learning problems such as classification and regression, unsupervised learning problems like clustering and dimensionality reduction, and semi-supervised learning. It also provides tools for anomaly detection, feature selection, and model evaluation."
3,Easy,Why is scikit-learn widely used in industry and research?,"Scikit-learn is widely used because of its consistent API, excellent documentation, strong community support, and reliability. It allows quick experimentation, is easy to debug, and integrates seamlessly with the Python data science ecosystem, making it suitable for both research prototypes and production systems."
4,Hard,Explain the design philosophy of scikit-learn.,"Scikit-learn is designed around simplicity, consistency, and explicitness. All models follow a uniform interface using methods like fit(), predict(), and transform(). The library avoids hidden states, encourages clear data flow, and promotes reproducibility and maintainable machine learning pipelines."
5,Medium,What is an estimator in scikit-learn?,"An estimator is any object that learns patterns from data using the fit() method. Estimators include classifiers, regressors, and transformers. After fitting, estimators store learned parameters internally and can be used for prediction or transformation."
6,Easy,What is the difference between fit() and predict()?,"fit() is used to train a model by learning parameters from the training data, while predict() uses the trained model to generate predictions on new, unseen data. In simple terms, fit() builds the model and predict() applies it."
7,Medium,What is a transformer in scikit-learn?,"A transformer is an object that modifies or preprocesses data using the fit() and transform() methods. Examples include scaling numerical features, encoding categorical variables, and reducing dimensionality. Transformers are commonly chained together using pipelines."
8,Easy,What does train_test_split() do?,train_test_split() splits a dataset into training and testing subsets. This helps evaluate how well a model generalizes to unseen data and prevents misleading performance caused by testing on training data.
9,Medium,What is supervised learning?,"Supervised learning is a machine learning approach where models are trained on labeled data. Each input sample has a corresponding output label, allowing the model to learn a mapping from inputs to outputs and make predictions on new data."
10,Hard,Explain the bias–variance tradeoff.,"Bias refers to errors caused by overly simple models that underfit the data, while variance refers to errors caused by overly complex models that overfit the training data. A good model balances bias and variance, often using techniques like regularization and cross-validation."
11,Medium,What is cross-validation?,"Cross-validation is a technique used to evaluate model performance by dividing the dataset into multiple folds. The model is trained on some folds and validated on others, providing a more reliable estimate of how the model will perform on unseen data."
12,Easy,What is a feature in machine learning?,A feature is an individual measurable property or variable in the dataset that represents input information used by a machine learning model to make predictions.
13,Hard,What is a Pipeline in scikit-learn and why is it important?,A Pipeline allows chaining multiple preprocessing steps and a final estimator into a single object. It ensures that the same transformations are applied consistently during training and inference and helps prevent data leakage in cross-validation.
14,Medium,What is the difference between classification and regression?,"Classification predicts discrete class labels, such as spam or not spam, while regression predicts continuous numerical values, such as prices or temperatures."
15,Easy,What is a target variable?,The target variable is the output value that a supervised learning model aims to predict based on input features.
